AppID,Game Name,Release Date,Developer,Genres,Price ($),Recommendations
2596530,The Colony 2044,2025,Nexrage Studios,"Action, Casual, Indie, Simulation, Strategy",Free,N/A
2595600,My Time at Sandrock - Summer Heat Collection 2,"Nov 23, 2023",Pathea Games,"Adventure, Casual, Indie, RPG, Simulation",4.99,N/A
2595620,My Time at Sandrock - Starlight Collection 1,"Nov 23, 2023",Pathea Games,"Adventure, Casual, Indie, RPG, Simulation",4.99,N/A
2595630,Monke Simulator Demo,"Jun 10, 2024",Totem Softproducts,"Action, Indie",Free,N/A
2595640,Move The Chains - Season 1,"Nov 15, 2024",MissFortune,"Adventure, Indie, Early Access",Free,N/A
2595650,Night of Full Moon - Echoes of Nature（Classic）,"Sep 28, 2023",Giant Games,"Adventure, Indie, Strategy",1.99,N/A
2595670,Night of Full Moon - Witcher（Mirror）,"Sep 28, 2023",Giant Games,"Adventure, Indie, Strategy",1.99,N/A
2595680,Night of Full Moon - Wolf（Mirror）,"Sep 28, 2023",Giant Games,"Adventure, Indie, Strategy",1.99,N/A
2595690,Night of Full Moon - Witch（Wishing）,"Sep 28, 2023",Giant Games,"Adventure, Indie, Strategy",1.99,N/A
2595710,My Time at Sandrock - Starlight Collection 2,"Nov 23, 2023",Pathea Games,"Adventure, Casual, Indie, RPG, Simulation",4.99,N/A
2595720,My Time at Sandrock - Starlight Collection 3,"Nov 23, 2023",Pathea Games,"Adventure, Casual, Indie, RPG, Simulation",4.99,N/A
2595730,My Time at Sandrock - Pet Pack: Lil Gecko,"Nov 2, 2023",Pathea Games,"Adventure, Casual, Indie, RPG, Simulation",2.99,N/A
2595740,My Time at Sandrock - Interior Decorator Pack,"Nov 2, 2023",Pathea Games,"Adventure, Casual, Indie, RPG, Simulation",3.99,N/A
2595750,My Time at Sandrock - Far East Furniture Pack,"Nov 2, 2023",Pathea Games,"Adventure, Casual, Indie, RPG, Simulation",3.99,N/A
2595760,My Time at Sandrock - Cute Critter Furniture Pack,"Nov 2, 2023",Pathea Games,"Adventure, Casual, Indie, RPG, Simulation",3.99,N/A
2595850,Stronghold Siege,"Sep 7, 2024",Override,"Action, Adventure, Indie, RPG, Simulation, Strategy, Free To Play",Free,N/A
2595860,Hitler is my crush,"Nov 14, 2023",DarkLight Studio,"Action, Adventure, Casual, Indie",0.99,468
2595900,Monolit,Coming soon,Gravity Studio,"Action, Adventure, Indie, RPG",Free,N/A
2595930,Jigsaw Advent Calendar,"Nov 29, 2023","Mindscape, Denda Games, Graphium Studio","Casual, Indie",14.99,N/A
2595940,Magical Bakery,"Nov 7, 2024",SUPERLUMEN,"Action, Casual, Indie",Free,N/A
2595960,只猩：酋长争霸,December 2024,含笑半步癫g5,"Action, Adventure, Indie, RPG",Free,N/A
2595080,Banana Co.,"Nov 23, 2023",S.G,"Action, Indie, Strategy",0.99,N/A
2595090,self-indulgence,"Feb 16, 2024",skadi___dywimo,"Action, Indie, Free To Play",Free,N/A
2595100,HeroBot!,Coming soon,FellsSwordGames,"Action, Adventure, Casual, Indie",Free,N/A
2595110,Love Nest,2025,池池,"Indie, RPG, Simulation, Strategy",Free,N/A
2595120,Wild Seasons,Coming soon,Bean Games,"Indie, Strategy",Free,N/A
2595160,Ride Hailing Simulator,"Oct 20, 2024",KUOKUO,"Casual, Indie, Simulation, Free To Play",Free,N/A
2595290,World of Reinvention,To be announced,Rostein Fox,"Adventure, Indie, RPG",Free,N/A
2595300,Forgotten Symphony,"Dec 22, 2023",Phyrfliez,"Adventure, Indie",Free,N/A
2595330,Full English City,Coming soon,Second Motivation,"Adventure, Indie, Early Access",Free,N/A
2595370,JJJ,"Sep 29, 2023",Rotten Apple Games,"Adventure, Indie",1.79,N/A
2595380,SPARKHUNT,To be announced,Oleksandr Zapisochnyi,"Action, Indie",Free,N/A
2595470,Guaishou 怪兽,To be announced,Apophenia 23,"Adventure, Indie",Free,N/A
2595480,Dreaming with You,Coming soon,Marica Andrei Marian,"Adventure, Indie",Free,N/A
2595530,The Masquerade,2025,Chewa,"Action, Casual, Indie",Free,N/A
2595540,UBERSLAUGHTER,"Sep 27, 2024",BillyBobCletus,"Action, Indie, Simulation",9.99,N/A
2594600,Elders Grace - Unchained,2025,Meta Monkey Inc.,"Action, Adventure, Indie, RPG, Strategy, Free To Play",Free,N/A
2594610,Red Echo,To be announced,Pacen Life Games,"Action, Adventure, Indie, RPG",Free,N/A
2594650,Riding to Bounce City - Cat set A,"Sep 14, 2023",Trigon Fan,"Action, Casual, Indie, Racing, Free To Play",2.39,N/A
2594690,Seraphim,"Feb 18, 2024",Luke Rayfield,"Action, Adventure, Indie",4.99,N/A
2594700,AploVVare Collection - Supporter DLC,"Sep 15, 2023",AploveStudio,"Adventure, Indie, Simulation, Free To Play",0.99,N/A
2594710,AploVVare Collection - 18+ DLC,"Sep 15, 2023",AploveStudio,"Adventure, Indie, Simulation, Free To Play",Free,N/A
2594730,Daydream Mosaics 4: Shades of Blue,"Oct 20, 2023",Lucaciu Studio,"Casual, Indie",8.99,N/A
2594740,Crystal Fortress,Coming soon,Three-Point Studio,"Casual, Indie, Strategy",Free,N/A
2594830,ELEGIES: Aya - Artbook,"Oct 24, 2023",Dream Squircle,"Adventure, Indie",4.99,N/A
2594860,Vorum,Coming soon,Lon Sevidanes,"Adventure, Indie, RPG",Free,N/A
2594870,Lethal Beach,"Jan 24, 2024",IsSasaLa,"Casual, Indie, RPG, Simulation, Early Access",2.49,N/A
2594940,Signal,"Oct 14, 2023","Sound Shore 心声彼岸, Loong Dream 龙梦文化","Action, Adventure, Indie, RPG, Early Access",Free,N/A
2594970,Botanical Chronicle,2024,Metapolis Games,"Adventure, Casual, Indie",Free,N/A
2594980,Brickhaven,2025,"Rootpointers, Atomic Core Studios LLC","Action, Indie, RPG, Simulation, Strategy, Early Access",Free,N/A
2594990,The Paper Trials Chapter 2,"Jan 2, 2024",Tyler L,"Action, Adventure, Casual, Indie, Free To Play",1.99,N/A
2595040,Ship's Cat,"Apr 27, 2024",Caddy Computing,"Action, Adventure, Casual, Indie",4.99,N/A
2594070,Beat Saber - Linkin Park - Lost,"Oct 5, 2023",Beat Games,Indie,1.99,N/A
2594080,Beat Saber - Linkin Park - More The Victim,"Oct 5, 2023",Beat Games,Indie,1.99,N/A
2594090,"Beat Saber - JAY-Z, Linkin Park - Numb/Encore","Oct 5, 2023",Beat Games,Indie,1.99,N/A
2594100,Beat Saber - Fort Minor - Remember the Name (feat. Styles of Beyond),"Oct 5, 2023",Beat Games,Indie,1.99,N/A
2594110,Endure The Swarm,"Dec 7, 2023",Ternary Designs,Indie,9.99,N/A
2594180,Maliguard,To be announced,Riskmaster Studios,"Action, Adventure, Indie, RPG",Free,N/A
2594200,A Touch of Magic,"Nov 18, 2023","First Sin, JAD","Adventure, Indie, Simulation, Early Access",9.99,N/A
2594280,Bloxtacle Course,"Oct 13, 2023",Prickleberry Games LLC,"Action, Casual, Indie",0.99,N/A
2594310,I Am Zombie,To be announced,WarmZombie,"Adventure, Indie, Simulation, Early Access",Free,N/A
2594330,Flatspace IIk We Robot Music Pack,"Sep 29, 2023",Cornutopia Software,"Action, Adventure, Indie, RPG, Simulation",Free,N/A
2594350,Forg Feast Frenzy,Coming soon,Weird,"Casual, Indie, Simulation",Free,N/A
2594420,SCP : CENTURA TYCOON,2024,ATallGoat,"Indie, Strategy",Free,N/A
2594430,Color Collar,"Dec 8, 2023",Hopecho,"Casual, Indie, Strategy",Free,N/A
2594470,Bit Tower,"Aug 6, 2024","ChesterDev, Skyel","Action, Adventure, Casual, Indie, Strategy",1.99,N/A
2594480,Harmonic Depths,"Dec 8, 2023",Override,"Casual, Indie, Simulation, Free To Play",Free,N/A
2594490,Project N3T,"Oct 5, 2023","Myre36, ThatMatt, Reimsas","Casual, Indie",Free,N/A
2594560,Devil Seeds,"Oct 18, 2023",Trevaz,"Adventure, Indie, RPG, Strategy, Free To Play",Free,N/A
2593580,Village,"Sep 25, 2023",STuNT,"Action, Adventure, Indie, Simulation",0.99,N/A
2593640,Over Many Waters,"Dec 11, 2024",MultiMediaVerse LLC,"Action, Adventure, Indie, RPG",Free,N/A
2593650,Deep Space Solitude,"Oct 31, 2023",谋颖游,"Action, Adventure, Indie, RPG",1.01,N/A
2593660,Halloween Naughty Girls,"Nov 1, 2023",Stacy Story Games,"Adventure, Indie, Simulation",1.99,N/A
2593750,Muse Dash - Muse Plus,"Oct 4, 2023",peropero,"Action, Casual, Indie",34.99,395
2593760,Kudos 2,"Sep 20, 2023",Positech Games,"Indie, RPG, Simulation, Strategy",5.99,N/A
2593790,Sqube Escape,"Nov 4, 2024",RH POSITIVE,"Adventure, Casual, Indie",Free,N/A
2593850,Mech Academy,"Oct 21, 2024",Space Samurai Studio,"Adventure, Indie",8.49,119
