AppID,Game Name,Release Date,Price ($),Action,Adventure,Casual,Early Access,Free To Play,Gore,Indie,Massively Multiplayer,Nudity,RPG,Racing,Sexual Content,Simulation,Sports,Strategy,Violent,Developer_Alister Software,Developer_Choice of Games,Developer_Daedalic Entertainment,Developer_Easy game,Developer_Other,Developer_RewindApp,Developer_Ronimo Games,Developer_U-ROOM,Years Since Release,Original_Recommendations,Log_Recommendations,Standardized_Recommendations
451880,Catch a Falling Star,2016-03-30,0.025210084033613446,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.4444444444444444,247,5.5134287461649825,0.00015338728503454892
270880,American Truck Simulator,2016-02-02,0.32773109243697474,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.4444444444444444,135468,11.81649811083941,0.1422162781730944
2086140,RICE - Repetitive Indie Combat Experience™,2023-05-01,0.05882352941176471,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,239,5.480638923341991,0.00014498250229292979
1299480,The Fabled Woods,2021-03-25,0.15966386554621848,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.16666666666666666,159,5.075173815233827,6.093467487673862e-05
366690,Cue Club 2: Pool & Snooker,2016-03-07,0.3109243697478991,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,0.4444444444444444,650,6.478509642208569,0.0005767782156436119
33680,eversion,2010-06-07,0.07563025210084033,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.7777777777777777,1051,6.9584483932976555,0.0009980679505672703
3172860,Lust Epidemic 18+,2024-09-21,0.15966386554621848,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,139,4.941642422609304,3.9922718022690826e-05
846800,Diner Bros,2018-07-06,0.15966386554621848,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.3333333333333333,746,6.616065185132817,0.0006776356085430415
818210,Indie Pogo,2018-07-10,0.2436974789915966,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.3333333333333333,245,5.5053315359323625,0.00015128608934914412
1110050,Evan's Remains,2020-06-11,0.1092436974789916,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2222222222222222,825,6.716594773520978,0.0007606328381165302
406970,The Uncertain: Last Quiet Day,2016-09-22,0.15966386554621848,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4444444444444444,1608,7.3833681469923835,0.0015832509489525015
1477330,Soulestination,2021-01-05,0.04201680672268908,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.16666666666666666,549,6.309918278226516,0.00047066783353067056
703880,Swords and Soldiers 2 Shawarmageddon,2018-11-06,0.15966386554621848,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.3333333333333333,152,5.030437921392435,5.358048997782189e-05
434250,Masked Shooters 2,2016-01-14,0.008403361344537815,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4444444444444444,608,6.411818267709897,0.0005326531062501117
323490,Oblivious Garden ~Carmina Burana,2014-12-12,0.2436974789915966,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5555555555555556,442,6.093569770045136,0.0003582538643615149
1947530,Fidget Spinner RPG,2023-09-26,0.05882352941176471,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,198,5.293304824724492,0.00010190799074213182
2287520,Five Nights at Freddy's: Help Wanted 2,2023-12-14,0.6638655462184875,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,3853,8.256866848974312,0.003941843105819366
2574840,Go For A Punch! Saki Sanobashi,2023-09-14,0.008403361344537815,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,152,5.030437921392435,5.358048997782189e-05
1916310,Remnant Records,2024-01-23,0.26050420168067223,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,386,5.958424693029782,0.00029942038517018107
1671360,Ereban: Shadow Legacy,2024-04-10,0.41176470588235287,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,172,5.153291594497779,7.459244683186969e-05
1061090,Jump King,2019-05-03,0.21008403361344538,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2777777777777778,10552,9.26416545867109,0.010979798054082675
809850,Sudoku Zenkai / 数独全卡,2018-04-02,0.05882352941176471,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.3333333333333333,168,5.1298987149230735,7.039005546106012e-05
357300,Snakebird,2015-05-04,0.1092436974789916,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5,797,6.682108597449809,0.0007312160985208634
285110,GearCity,2022-01-14,0.32773109243697474,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0.1111111111111111,1269,7.146772179452637,0.0012270982802763913
1432100,The Bookwalker: Thief of Tales,2023-06-22,0.2436974789915966,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,1270,7.147559271189454,0.0012281488781190936
2012140,Helicopter Gunship DEX,2022-12-01,0.2941176470588235,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.1111111111111111,137,4.927253685157205,3.782152233728603e-05
2875140,失业了，我获得了亿万游戏财产！,2024-08-08,0.21008403361344538,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0.0,1766,7.4770384723196965,0.0017492454080994789
813540,Scheming Through The Zombie Apocalypse: The Beginning,2018-06-08,0.0033613445378151263,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.3333333333333333,291,5.676753802268282,0.00019961359011345405
1691320,Hellbreach: Vegas,2024-08-14,0.2436974789915966,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,426,6.056784013228625,0.00034144429887827667
1016770,Interrogation: You will be deceived,2019-12-05,0.03529411764705882,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0.2777777777777778,283,5.648974238161206,0.00019120880737183492
1144020,GolfTopia,2021-03-30,0.32773109243697474,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0.16666666666666666,437,6.082218910376446,0.00035300087514800296
1489590,Astronite,2022-11-30,0.054621848739495805,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.1111111111111111,105,4.663439094112067,4.202391370809565e-06
241760,Kill to Collect,2016-04-06,0.15966386554621848,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4444444444444444,165,5.111987788356544,6.723826193295296e-05
1298530,Self-Isolation,2020-12-02,0.07563025210084033,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.2222222222222222,420,6.042632833682381,0.00033514071182206233
1950570,Tales from Toyotoki: Arrival of the Witch (The witch of the Ihanashi),2022-08-19,0.41159663865546214,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.1111111111111111,519,6.253828811575473,0.0004391498982495989
332790,Darkness Assault,2015-02-06,0.008403361344537815,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.5,547,6.306275286948016,0.0004685666378452658
2088650,Mist Slayer,2023-08-17,0.2941176470588235,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,304,5.720311776607412,0.00021327136206858514
780020,True Puzzle,2018-06-22,0.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.3333333333333333,110,4.709530201312334,9.455380584321514e-06
872750,Guard Duty,2019-05-02,0.025210084033613446,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2777777777777778,197,5.288267030694535,0.00010085739289942942
2005010,"Warhammer 40,000: Boltgun",2023-05-23,0.361344537815126,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,12171,9.406893511016861,0.012680715961417843
1143810,Black Skylands,2023-08-15,0.32773109243697474,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,2223,7.707062655370473,0.0022293686222144707
808010,Critadel,2021-10-12,0.32773109243697474,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.16666666666666666,188,5.241747015059643,9.140201231510792e-05
476490,Choice of the Pirate,2016-05-20,0.07563025210084033,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4444444444444444,101,4.624972813284271,0.0
2802790,Why do you love me?,2024-02-11,0.008403361344537815,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,145,4.983606621708336,4.622630507890516e-05
2278830,GunSuit Guardians,2023-03-31,0.04201680672268908,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.05555555555555555,195,5.278114659230517,9.875619721402465e-05
335700,I am Weapon: Revival,2015-10-23,0.26050420168067223,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5,233,5.455321115357702,0.00013867891523671545
1604000,Milk outside a bag of milk outside a bag of milk,2021-12-16,0.14285714285714285,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.16666666666666666,14828,9.60434000197507,0.015472154429478094
1591870,Drift Phonk 666,2021-04-16,0.0,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.16666666666666666,248,5.517452896464707,0.00015443788287725129
2341070,The Banished Vault,2023-07-25,0.41176470588235287,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.05555555555555555,158,5.0689042022202315,5.9884077034036225e-05
1392490,Forklift Load,2020-10-22,0.04201680672268908,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.2222222222222222,117,4.770684624465665,1.6809565483238232e-05
2051420,Beltex,2022-07-08,0.07563025210084033,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,0.1111111111111111,188,5.241747015059643,9.140201231510792e-05
